City_State,City,State, Postal, Latitude, Longitude, Number of POI
Barranquitas_PR,Barranquitas,PR,794,18.186387,-66.307568,20
Barranquita_PR,Barranquita,PR,794,18.1848,-66.31,3
Juana Diaz_PR,Juana Diaz,PR,795,18.038101,-66.443854,29
St Thomas_VI,St Thomas,VI,802,18.342312,-64.92,14
Stthomas_VI,Stthomas,VI,802,18.34028,-64.88556,3
St Thomas_VI,St Thomas,VI,802,18.34028,-64.88556,1
St Thomas_VI,St Thomas,VI,804,18.340859,-64.927156,1
St Croix_VI,St Croix,VI,820,17.773218,-64.769483,8
Stcroix_VI,Stcroix,VI,820,17.7475,-64.70389,1
St John_VI,St John,VI,830,18.348137,-64.712833,1
St John_VI,St John,VI,831,18.330475,-64.794151,1
St Croix_VI,St Croix,VI,840,17.693341,-64.880771,4
Stcroix_VI,Stcroix,VI,840,17.71333,-64.88222,2
St Croix_VI,St Croix,VI,850,17.721163,-64.798707,4
Stcroix_VI,Stcroix,VI,850,17.72556,-64.78333,1
St Croix_VI,St Croix,VI,851,17.727328,-64.786197,2
Morovis_PR,Morovis,PR,887,0,0,1
San Juan_PR,San Juan,PR,901,18.442571,-66.068848,11
San Juan_PR,San Juan,PR,906,18.465266,-66.095595,1
San Juan_PR,San Juan,PR,907,18.45155,-66.061467,10
San Juan_PR,San Juan,PR,908,18.45096,-66.081087,1
San Juan_PR,San Juan,PR,909,18.441741,-66.064737,4
San Juan_PR,San Juan,PR,910,18.4459,-66.0698,1
San Juan_PR,San Juan,PR,912,18.446679,-66.059278,1
San Juan_PR,San Juan,PR,913,18.448255,-66.038421,11
San Juan_PR,San Juan,PR,914,18.449899,-66.049579,2
San Juan_PR,San Juan,PR,915,18.438276,-66.055636,28
San Juan_PR,San Juan,PR,916,18.432769,-66.040208,1
San Juan_PR,San Juan,PR,917,18.419865,-66.049352,16
San Juan_PR,San Juan,PR,918,18.4185,-66.0601,12
San Juan_PR,San Juan,PR,919,18.408511,-66.037667,2
San Juan_PR,San Juan,PR,920,18.399492,-66.085799,2
San Juan_PR,San Juan,PR,921,18.448962,-66.051579,12
San Juan_PR,San Juan,PR,923,18.4102,-66.0365,23
San Juan_PR,San Juan,PR,924,18.3977,-66.0113,72
Carolina_PR,Carolina,PR,924,18.4088,-66.0131,3
San Juan_PR,San Juan,PR,925,18.403255,-66.047909,6
San Juan_PR,San Juan,PR,926,18.3588,-66.0594,31
Trujillo Alto_PR,Trujillo Alto,PR,926,18.37702,-66.055715,1
San Juan_PR,San Juan,PR,927,18.3969,-66.102209,9
San Juan_PR,San Juan,PR,928,18.362577,-66.071622,43
Guaynabo_PR,Guaynabo,PR,928,18.397617,-66.048334,1
Dorado_PR,Dorado,PR,946,0,0,1
Toa Baja_PR,Toa Baja,PR,949,18.444436,-66.254336,21
Toa Baja_PR,Toa Baja,PR,950,18.409143,-66.212042,3
Toa Baja_PR,Toa Baja,PR,951,18.457923,-66.187528,5
Toa Alta_PR,Toa Alta,PR,953,18.35907,-66.258118,18
Toa Alta_PR,Toa Alta,PR,954,18.366098,-66.218219,6
Bayamon_PR,Bayamon,PR,956,18.3391,-66.1656,37
San Juan_PR,San Juan,PR,956,18.3659,-66.1635,3
Bayamon_PR,Bayamon,PR,957,18.350061,-66.188041,25
Bayamon_PR,Bayamon,PR,959,18.3911,-66.1589,16
Bayamon_PR,Bayamon,PR,960,18.387104,-66.150812,7
Bayamon_PR,Bayamon,PR,961,18.411281,-66.160518,27
Catano_PR,Catano,PR,962,18.42906,-66.13703,11
Toa Baja_PR,Toa Baja,PR,962,18.443251,-66.130487,1
Cata+//0-o_PR,Cata+//0-o,PR,962,0,0,1
Catano_PR,Catano,PR,962,18.4387,-66.1342,6
Cata+//0-o_PR,Cata+//0-o,PR,962,18.4387,-66.1342,3
Catano_PR,Catano,PR,963,18.442143,-66.116826,2
Guaynabo_PR,Guaynabo,PR,965,18.4365,-66.1216,3
Guaynabo_PR,Guaynabo,PR,969,18.357974,-66.105148,10
Bayamon_PR,Bayamon,PR,969,18.367,-66.1043,3
Guaynabo_PR,Guaynabo,PR,970,18.35554,-66.11372,5
Caguas_PR,Caguas,PR,970,18.233022,-66.024735,1
Catano_PR,Catano,PR,970,18.355539,-66.113724,1
Guaynabo_PR,Guaynabo,PR,970,18.35499,-66.110889,10
Caguas_PR,Caguas,PR,970,18.355539,-66.113724,1
San Juan_PR,San Juan,PR,971,18.355539,-66.113724,1
Guaynabo_PR,Guaynabo,PR,971,18.35945,-66.11141,2
Catano_PR,Catano,PR,971,18.301782,-66.086098,1
Trujillo Alto_PR,Trujillo Alto,PR,976,18.340213,-66.034937,21
Trujillo Alto_PR,Trujillo Alto,PR,977,18.353353,-66.007195,4
Carolina_PR,Carolina,PR,979,18.407294,-65.986311,5
Trujillo Alto_PR,Trujillo Alto,PR,979,18.435,-66.0144,1
Canovanas_PR,Canovanas,PR,979,18.433904,-66.011756,1
Carolina_PR,Carolina,PR,982,18.406,-65.9882,6
Carolina_PR,Carolina,PR,983,18.416687,-65.977816,14
Carolina_PR,Carolina,PR,984,18.401042,-65.976222,2
Carolina_PR,Carolina,PR,985,18.358523,-65.964538,29
Canovanas_PR,Canovanas,PR,985,18.395942,-65.896391,2
Carolina_PR,Carolina,PR,986,18.369252,-65.978922,3
Carolina_PR,Carolina,PR,987,18.364451,-65.938659,21
Canovanas_PR,Canovanas,PR,987,18.348,-65.9478,1
Trujillo Alto_PR,Trujillo Alto,PR,987,18.378604,-65.97531,1
Carolina_PR,Carolina,PR,988,18.384799,-65.961051,1
Agawam_MA,Agawam,MA,1001,42.074229,-72.645607,9
Amherst_MA,Amherst,MA,1002,42.347276,-72.517505,13
Pelham_MA,Pelham,MA,1002,42.377991,-72.468298,1
Barre_MA,Barre,MA,1005,42.400541,-72.115239,3
Belchertown_MA,Belchertown,MA,1007,42.267357,-72.398915,8
Brimfield_MA,Brimfield,MA,1010,42.119324,-72.202239,1
Chester_MA,Chester,MA,1011,42.280273,-72.983694,1
Chesterfield_MA,Chesterfield,MA,1012,42.40351,-72.84921,1
Chicopee_MA,Chicopee,MA,1013,42.140798,-72.608833,20
Chicopee_MA,Chicopee,MA,1020,42.166279,-72.5881,22
Chicopee_MA,Chicopee,MA,1022,42.197987,-72.56203,3
Cummington_MA,Cummington,MA,1026,42.458612,-72.889897,1
Easthampton_MA,Easthampton,MA,1027,42.268533,-72.672099,12
Westhampton_MA,Westhampton,MA,1027,42.30305,-72.77162,2
East Longmeadow_MA,East Longmeadow,MA,1028,42.069828,-72.507534,13
Feeding Hills_MA,Feeding Hills,MA,1030,42.064118,-72.673621,5
Gilbertville_MA,Gilbertville,MA,1031,42.31689,-72.18622,1
Granby_MA,Granby,MA,1033,42.265446,-72.491348,3
Granville_MA,Granville,MA,1034,42.06609,-72.85474,1
Hadley_MA,Hadley,MA,1035,42.353789,-72.55888,3
Hampden_MA,Hampden,MA,1036,42.06648,-72.41236,5
Hatfield_MA,Hatfield,MA,1038,42.36997,-72.597953,2
Haydenville_MA,Haydenville,MA,1039,42.37618,-72.70552,1
Holyoke_MA,Holyoke,MA,1040,42.18584,-72.628668,68
